"DELL G3579-5965BLK Gaming Laptop i5-8300H GTX 1050 15.6"" Windows 10 Home 64-Bit",Model #: G3579-5965BLK,$784.99 (3 Offers)
"Alienware AW17R5-7108SLV Gaming Laptop GTX 1060 6 GB i7-8750H17.3"" Windows 10 Home 64-Bit",Model #: AW17R5-7108SLV,"$1,699.00"
"Acer PH315-51-74V4 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: PH315-51-74V4,"$1,379.99"
"MSI GP73 Leopard-001 Gaming Laptop GTX 1050 Ti 4 GB i7-8750H 17.3"" Windows 10 Home 64-Bit",Model #: GP73 Leopard-001,"$1,349.00 (2 Offers)"
"Lenovo Y920 (80YW000EUS) Gaming Laptop  i7-7820HK GTX 1070 17.3"" Windows 10 Home 64-Bit",Model #: Y920 (80YW000EUS),"$2,424.99"
"Lenovo 81FL0000US Gaming Laptop i7-8750H GTX 105017.3"" Windows 10 Home 64-Bit",Model #: 81FL0000US,"$1,129.99"
"MSI GL72M 7RDX-1218 17.3"" GTX 1050 i7 -7700HQ 16 GB Memory 128 GB M.2 NVMe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GL72MX1218,"$1,069.40"
"MSI PE72 8RD-011 Gaming Laptop GTX 1050 Ti 4 GB i7-8750H 17.3"" Windows 10 Pro 64-Bit",Model #: PE72 8RD-011,"$1,538.68"
"MSI GS Series GS63VR STEALTH PRO-229 15.6"" IPS GTX 1060 6 GB i7 -7700HQ VR Ready 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Pro 64-Bit Gaming Laptop",Model #: GS63VR STEALTH PRO-229,"$1,799.00 (2 Offers)"
"DELL G5587-7835BLK Gaming Laptop Intel Core i7-8750H GTX 1050 Ti 15.6"" Windows 10 Home 64-Bit",Model #: G5587-7835BLK,"$1,199.99"
"Acer GX-792-77BL Gaming Laptop GTX 1080 8 GB i7-7820HK 17.3"" 4K/UHD Windows 10 Home 64-Bit",Model #: GX-792-77BL,"$2,799.00"
"HP 17-an120nr 17.3"" 144 Hz IPS i7-8750H GTX 1060 16 GB Memory 1 TB HDD 128 GB NVMe SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: 17-an120nr,"$1,418.99"
"DELL i7577-5241BLK Gaming Laptop  i5-7300HQ GTX 1060 15.6"" Windows 10 Home 64-Bit",Model #: i7577-5241BLK,"$1,022.39"
"DELL i7577-7289BLK 15.6"" 4K/UHD  i7-7700HQ  GTX 1060 16 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: i7577-7289BLK,"$1,513.95"
"ASUS FX503VM 15.6"" FHD Powerful Gaming Laptop, Intel Core i7-7700HQ Quad-Core 2.8 GHz Processor, GeForce GTX 1060, 128 GB SSD + 1 TB HDD, 16 GB DDR4, Windows 10 Home",Model #: FX503VM-EH73,"$1,249.00"
"HP 15-cx0040nr 15.6"" IPS i5 8th-8300H  Radeon RX 560X 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: 15-cx0040nr,$839.99
"Hewlett-Packard 15.6"" 650G4 i5-7200U 4GB/500 PC",Model #: 3YE31UTABA,$859.00
"HP 15.6"" 650G4 i5-8250U 4GB/500 PC",Model #: 3YD90UTABA,$870.99
"HP 15-cx0020nr 15.6"" IPS i5-8300H GTX 1050 Ti 8 GB Memory 16 GB Optane Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: 15-cx0020nr,$869.99
"HP EliteBook 745 G5 14"" Touchscreen Laptop Ryzen7 2700U 8GB 256GB SSD Win10 Pro",Model #: 4TN70UT#ABA,"$1,392.99"
"Lenovo ThinkPad A485 20MU - Ryzen 5 Pro 2500U / 2 GHz - Win 10 Pro 64-bit - 8 GB RAM - 500 GB HDD - 14"" 1366 x 768 (HD) - Radeon Vega 8 - Wi-Fi, Bluetooth - black",Model #: 20MU000VUS,$879.99
"Dell G35795958BLK 15.6"" Full HD i5-8300H GTX 1050 8GB 1TB HDD Gaming Notebook",Model #: G35795958BLK,$844.99
"HP 15-cx0030nr 15.6"" IPS i5-8300H GTX 1050 Ti 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: 15-cx0030nr,$899.99
"Dell Inspiron 13 FHD 13.3"" 2-in-1 Touchscreen Laptop i3-7100U 4GB DDR4 & 1TB HDD",Model #: 80263,$578.99
"Lenovo ThinkPad A485 20MU000TUS 14"" Laptop Ryzen 5 2500U 8GB 256GB SSD W10P",Model #: 20MU000TUS,"$1,104.99"
"Alienware AW17R4-7003SLV Gaming Laptop i7-7700HQ GTX 1060 17.3"" Windows 10 Home 64-Bit",Model #: AW17R4-7003SLV,"$1,619.16"
"HP 14"" 640G4 i58350U 16GB/512 PC",Model #: 3YD91UTABA,"$1,449.00"
"Alienware AW15R4-7675SLV Gaming Laptop i7-8750H GTX 1060 15.6"" Windows 10 Home 64-Bit",Model #: AW15R4-7675SLV,"$1,521.35"
"HP 17-an110nr 17.3"" IPS  i7-8750H  GTX 1050 Ti 12 GB Memory 1 TB HDD 128 GB NVMe SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: 17-an110nr,"$1,175.99"
"HP EliteBook 1040 G4 14"" i7 7820HQ 16GB 1TB SSD Win 10 Pro - 3WD94UTABA",Model #: 3WD94UTABA,"$2,499.99"
"Open Box: ASUS FX502VM-AS73 Gaming Laptop Intel Core i7 7th Gen 7700HQ (2.80 GHz) 16 GB DDR4 Memory 1 TB HDD 128 GB SSD NVIDIA GeForce GTX 1060 3 GB GDDR5 VR Ready 15.6"" Windows 10 Home 64-Bit",Model #: FX502VM-AS73,$999.00
"Open Box: ASUS ROG G701VI-XB78K 17.3"" Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 1080 VR Ready 64 GB Memory 1 TB SSD Windows 10 Pro 64-Bit Gaming Laptop",Model #: G701VI-XB78K,"$3,049.00"
"Open Box: MSI GT80S TITAN SLI-222 18.4"" Intel Core i7 6th Gen 6920HQ (2.90 GHz) NVIDIA GeForce GTX 980 SLI 64 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GT80S TITAN SLI-222,"$3,979.00"
"Open Box: MSI GS63VR STEALTH PRO-674 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB M.2 SATA SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GS63VR STEALTH PRO-674,"$1,188.00"
"Open Box: MSI GE72VR APACHE PRO-865 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB M.2 SATA SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GE72VR APACHE PRO-865,"$1,080.00"
