model,price,title
"LATI55906K77V, ","$,1,511.99","Dell - Latitude 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive"
"V1P72UT, ","$,835.99","HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"
"LATI5480UHG0NP, ","$,998.99","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black"
"LATI7280XM199, ","$,1,143.99","Dell - Latitude 12.5"" Laptop - Intel Core i5 - 4GB Memory - 128GB Solid State Drive - Black"
"LATI5480H8DFDH, ","$,1,563.99","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 256 GB Solid State Drive - Black"
"NX.GR7AA.002, ","$,940.99","Acer - Spin 5 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel Gray"
"LATI54906J9XN, ","$,1,008.99","Dell - Latitude 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive"
"LATI73806N8PT, ","$,1,553.99","Dell - Latitude 13.3"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
"20JM000CUS, ","$,944.99","Lenovo - 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"
"TMP658M70S3, ","$,1,149.99","Acer - TravelMate 15.6"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black"
"A31551361T, ","$,433.99","Acer - Aspire 3 15.6"" Laptop - Intel Core i3 - 4GB Memory - 1TB Hard Drive - Blue Stone"
"LATI3590MMV2F, ","$,1,268.99","Dell - Latitude 15.6"" Laptop - Intel Core i3 - 8GB Memory - 256GB Solid State Drive"
"NX.GKPAA.005, ","$,1,114.99","Acer - Spin 7 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Shale Black"
"A3155157Z4, ","$,509.99","Acer - Aspire 3 15.6"" Laptop - Intel Core i5 - 6GB Memory - 1TB Hard Drive - Obsidian Black"
"T6F44UT, ","$,909.99","HP - EliteBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Silver"
"TMP459M58F7, ","$,799.99","Acer - TravelMate 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
"T6F45UT, ","$,1,249.99","HP - EliteBook 14"" Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver"
"C771T56G3, ","$,540.99","Acer - 11.6"" Touch-Screen Chromebook - Intel Core i5 - 8GB Memory - 64GB eMMC Flash Memory - Black"
"C91054M1, ","$,509.99","Acer - 15.6"" Chromebook - Intel Core i5 - 4GB Memory - 32GB Solid State Drive - Black"
"LATI5590C6JC7, ","$,1,149.99","Dell - Latitude 15.6"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive"
"SP3155173UG, ","$,785.17","Acer - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 1TB Hard Drive + 128GB Solid State Drive - Obsidian Black"
