,title,model,price
71,"Acer - 15.6"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Granite Gray",NX.GHJAA.009 ,"$,163.99"
72,"Acer - 15.6"" Refurbished Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 32GB eMMC Flash Memory - Pure Silver",NX.GPTAA.002 ,"$,268.00"
73,"Acer - 13.3"" Refurbished Chromebook - Tegra K1 - 2GB Memory - 16GB eMMC Flash Memory - White",NX.MPRAA.015 ,"$,173.99"
74,"Lenovo - N42-20 Touch 14"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Black",80VJ0000US ,"$,261.99"
75,"ASUS - Flip C213SA 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Dark gray",C213SAYS02S ,"$,399.00"
76,"Dell - 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Black",CRM3180D1J7Y ,"$,303.99"
77,"Acer - 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",CB3-431-C5EX ,"$,284.99"
78,"Acer - 14"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly Silver",NX.GC2AA.008 ,"$,210.99"
79,"Dell - 13.3"" Chromebook - Intel Celeron - 4GB Memory - 16GB Solid State Drive - Black",CRM33806TXJ4 ,"$,299.00"
80,"Dell - 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Gray",CRM5190W0KX6 ,"$,349.00"
