,title,model,price
38,"MSI GT75 TITAN-056 17.3"" FHD WVA 120Hz Intel i7-8850H NVIDIA GTX 1080 16GB Memory 1TB HDD Windows 10 RGB Keyboard",GT75 TITAN-056,"$2,799.00 "
39,"Lenovo Y720 80VR001BUS 15.6"" FHD GTX 1060 i7-7700HQ 16 GB Memory 128 GB SSD + 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",Y720 (80VR001BUS),"$1,249.79 "
40,"MSI GL73 8RC-032 Gaming Laptop GTX 1050 4 GB i7-8750H 17.3"" Windows 10 Home 64-Bit",GL73 8RC-032,"$1,149.00 "
41,"MSI GL73 8RD-031 Gaming Laptop  GTX 1050 Ti 4 GB i7-8750H 17.3"" Windows 10 Home 64-Bit",GL73 8RD-031,"$1,249.00 "
42,"Alienware AW15R4-7712SLV-PUS Gaming Laptop i7-8750H GTX 1060 15.6"" Windows 10 Home 64-Bit",AW15R4-7712SLV-PUS,"$1,699.99 "
43,"Alienware 15 R4 AW15R4-7736SLV i7-8750H GTX 1060 15.6"" Windows 10 Home 64-Bit",AW15R4-7736SLV,"$1,574.06 "
44,"MSI GF62VR 7RF 4K-1029 15.6"" LCD Notebook  GTX 1060  i7-7700HQ 16 GB DDR4 SDRAM - 1 TB HDD - 256 GB SSD - Windows 10 - 3840 x 2160 - In-plane Switching",GF62VR4K1029,"$1,599.99 "
45,"MSI GT83 TITAN-027 Gaming Laptop GTX 1080 SLI 16 GB i7-8850H 18.4"" Windows 10 Home 64-Bit",GT83 TITAN-027,"$5,699.00 "
46,"MSI GT63 TITAN-047 Gaming Laptop GTX 1070 8 GB i7-8750H 15.6"" Windows 10 Pro 64-Bit",GT63 TITAN-047,"$2,199.00 "
47,"ASUS G703GI-XS71 17.3"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1080 16 GB Memory 256 GB SSD 2 TB SSHD Windows 10 Pro 64-Bit Gaming Laptop",G703GI-XS71,"$2,799.99 "
48,"Acer Predator Triton 700 PT715-51-732Q 15.6"" IPS 120 Hz GTX 1080 8 GB i7-7700HQ Max-Q Design 32 GB Memory 512 GB PCIE SSD (2 x 256 GB in Raid 0) 1920 x 1080",PT715-51-732Q,"$2,802.37 "
49,"MSI GT75 TITAN-057 VR Ready 17.3"" LCD Gaming Notebook GTX 1070  i7-8850H - 16 GB DDR4 SDRAM - 1 TB HDD - Windows 10 (Multi Language) - 1920 x 1080",GT75057,"$2,399.00 "
50,"Dell Inspiron 15 7577 15.6""  i5-7300HQ GTX 1060 VR Ready 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",i7577-5265BLK,$993.15 
51,"MSI PE62 8RD-037 Gaming Laptop GTX 1050 Ti 4 GB i7-8750H 15.6"" Windows 10 Pro 64-Bit",PE62 8RD-037,"$1,359.00 "
52,"MSI GS Series GS73VR STEALTH PRO-225 17.3"" 120 Hz 7-7700HQ GTX 1060 VR Ready 16 GB Memory 256 GB SSD 2 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GS73VR STEALTH PRO-225,"$1,599.00 "
53,"DELL G3579-5965BLK Gaming Laptop i5-8300H GTX 1050 15.6"" Windows 10 Home 64-Bit",G3579-5965BLK,$784.99 
54,"Alienware AW17R5-7108SLV Gaming Laptop GTX 1060 6 GB i7-8750H17.3"" Windows 10 Home 64-Bit",AW17R5-7108SLV,"$1,699.00 "
55,"Acer PH315-51-74V4 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",PH315-51-74V4,"$1,379.99 "
56,"MSI GP73 Leopard-001 Gaming Laptop GTX 1050 Ti 4 GB i7-8750H 17.3"" Windows 10 Home 64-Bit",GP73 Leopard-001,"$1,349.00 "
57,"Lenovo Y920 (80YW000EUS) Gaming Laptop  i7-7820HK GTX 1070 17.3"" Windows 10 Home 64-Bit",Y920 (80YW000EUS),"$2,424.99 "
58,"Lenovo 81FL0000US Gaming Laptop i7-8750H GTX 105017.3"" Windows 10 Home 64-Bit",81FL0000US,"$1,129.99 "
59,"MSI GL72M 7RDX-1218 17.3"" GTX 1050 i7 -7700HQ 16 GB Memory 128 GB M.2 NVMe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GL72MX1218,"$1,069.40 "
60,"MSI PE72 8RD-011 Gaming Laptop GTX 1050 Ti 4 GB i7-8750H 17.3"" Windows 10 Pro 64-Bit",PE72 8RD-011,"$1,538.68 "
61,"MSI GS Series GS63VR STEALTH PRO-229 15.6"" IPS GTX 1060 6 GB i7 -7700HQ VR Ready 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Pro 64-Bit Gaming Laptop",GS63VR STEALTH PRO-229,"$1,799.00 "
62,"DELL G5587-7835BLK Gaming Laptop Intel Core i7-8750H GTX 1050 Ti 15.6"" Windows 10 Home 64-Bit",G5587-7835BLK,"$1,199.99 "
63,"Acer GX-792-77BL Gaming Laptop GTX 1080 8 GB i7-7820HK 17.3"" 4K/UHD Windows 10 Home 64-Bit",GX-792-77BL,"$2,799.00 "
64,"HP 17-an120nr 17.3"" 144 Hz IPS i7-8750H GTX 1060 16 GB Memory 1 TB HDD 128 GB NVMe SSD Windows 10 Home 64-Bit Gaming Laptop",17-an120nr,"$1,418.99 "
65,"DELL i7577-5241BLK Gaming Laptop  i5-7300HQ GTX 1060 15.6"" Windows 10 Home 64-Bit",i7577-5241BLK,"$1,022.39 "
66,"DELL i7577-7289BLK 15.6"" 4K/UHD  i7-7700HQ  GTX 1060 16 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",i7577-7289BLK,"$1,513.95 "
67,"ASUS FX503VM 15.6"" FHD Powerful Gaming Laptop, Intel Core i7-7700HQ Quad-Core 2.8 GHz Processor, GeForce GTX 1060, 128 GB SSD + 1 TB HDD, 16 GB DDR4, Windows 10 Home",FX503VM-EH73,"$1,249.00 "
68,"HP 15-cx0040nr 15.6"" IPS i5 8th-8300H  Radeon RX 560X 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",15-cx0040nr,$839.99 
69,"Hewlett-Packard 15.6"" 650G4 i5-7200U 4GB/500 PC",3YE31UTABA,$859.00 
70,"HP 15.6"" 650G4 i5-8250U 4GB/500 PC",3YD90UTABA,$870.99 
71,"HP 15-cx0020nr 15.6"" IPS i5-8300H GTX 1050 Ti 8 GB Memory 16 GB Optane Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",15-cx0020nr,$869.99 
72,"HP EliteBook 745 G5 14"" Touchscreen Laptop Ryzen7 2700U 8GB 256GB SSD Win10 Pro",4TN70UT#ABA,"$1,392.99 "
73,"Lenovo ThinkPad A485 20MU - Ryzen 5 Pro 2500U / 2 GHz - Win 10 Pro 64-bit - 8 GB RAM - 500 GB HDD - 14"" 1366 x 768 (HD) - Radeon Vega 8 - Wi-Fi, Bluetooth - black",20MU000VUS,$879.99 
74,"Dell G35795958BLK 15.6"" Full HD i5-8300H GTX 1050 8GB 1TB HDD Gaming Notebook",G35795958BLK,$844.99 
75,"HP 15-cx0030nr 15.6"" IPS i5-8300H GTX 1050 Ti 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",15-cx0030nr,$899.99 
76,"Dell Inspiron 13 FHD 13.3"" 2-in-1 Touchscreen Laptop i3-7100U 4GB DDR4 & 1TB HDD",80263,$578.99 
77,"Lenovo ThinkPad A485 20MU000TUS 14"" Laptop Ryzen 5 2500U 8GB 256GB SSD W10P",20MU000TUS,"$1,104.99 "
78,"Alienware AW17R4-7003SLV Gaming Laptop i7-7700HQ GTX 1060 17.3"" Windows 10 Home 64-Bit",AW17R4-7003SLV,"$1,619.16 "
79,"HP 14"" 640G4 i58350U 16GB/512 PC",3YD91UTABA,"$1,449.00 "
80,"Alienware AW15R4-7675SLV Gaming Laptop i7-8750H GTX 1060 15.6"" Windows 10 Home 64-Bit",AW15R4-7675SLV,"$1,521.35 "
81,"HP 17-an110nr 17.3"" IPS  i7-8750H  GTX 1050 Ti 12 GB Memory 1 TB HDD 128 GB NVMe SSD Windows 10 Home 64-Bit Gaming Laptop",17-an110nr,"$1,175.99 "
82,"HP EliteBook 1040 G4 14"" i7 7820HQ 16GB 1TB SSD Win 10 Pro - 3WD94UTABA",3WD94UTABA,"$2,499.99 "
83,"Open Box: ASUS FX502VM-AS73 Gaming Laptop Intel Core i7 7th Gen 7700HQ (2.80 GHz) 16 GB DDR4 Memory 1 TB HDD 128 GB SSD NVIDIA GeForce GTX 1060 3 GB GDDR5 VR Ready 15.6"" Windows 10 Home 64-Bit",FX502VM-AS73,$999.00 
84,"Open Box: ASUS ROG G701VI-XB78K 17.3"" Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 1080 VR Ready 64 GB Memory 1 TB SSD Windows 10 Pro 64-Bit Gaming Laptop",G701VI-XB78K,"$3,049.00 "
85,"Open Box: MSI GT80S TITAN SLI-222 18.4"" Intel Core i7 6th Gen 6920HQ (2.90 GHz) NVIDIA GeForce GTX 980 SLI 64 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GT80S TITAN SLI-222,"$3,979.00 "
86,"Open Box: MSI GS63VR STEALTH PRO-674 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB M.2 SATA SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GS63VR STEALTH PRO-674,"$1,188.00 "
87,"Open Box: MSI GE72VR APACHE PRO-865 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB M.2 SATA SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GE72VR APACHE PRO-865,"$1,080.00 "
